number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
69,0.8484024217653519,2026-02-08 12:42:35.023250,2026-02-08 12:42:35.746470,0 days 00:00:00.723220,0.979082942742597,0.7853859611912324,0.010084423887501692,3,6,481,2.648539138061761e-08,7.583900300595036e-05,0.8239243574352816,COMPLETE
70,0.8258912789434432,2026-02-08 12:42:35.788118,2026-02-08 12:42:36.356064,0 days 00:00:00.567946,0.9998451342671226,0.7264462499344017,0.11576899102555563,3,6,521,4.40860477326798e-08,0.0002697550874021964,0.7295251238771532,COMPLETE
71,0.8488199472661182,2026-02-08 12:42:36.374768,2026-02-08 12:42:43.620871,0 days 00:00:07.246103,0.9733592423912648,0.7077132267662236,0.012540901655568632,3,7,434,1.0023455614441173e-08,0.0010629821796113003,0.7512897929604704,COMPLETE
72,0.8487641597519511,2026-02-08 12:42:43.645733,2026-02-08 12:42:44.254727,0 days 00:00:00.608994,0.9847162043413267,0.6719524631884132,0.011417550794330468,3,7,486,1.993678281799996e-08,0.00010428462661404598,0.767251436179729,COMPLETE
73,0.8453646448097059,2026-02-08 12:42:44.273894,2026-02-08 12:42:46.672287,0 days 00:00:02.398393,0.9651639715034215,0.8186189818227573,0.012796242779213244,8,7,401,2.904266875146744e-08,2.086979247244689e-05,0.73685127592921,COMPLETE
74,0.8487911726535478,2026-02-08 12:42:46.695383,2026-02-08 12:42:47.409701,0 days 00:00:00.714318,0.935025107907722,0.5953289219687689,0.01581501032862814,3,6,532,1.3767466223782506e-08,5.4978605869959936e-05,0.7992184370303254,COMPLETE
75,0.8473307142563524,2026-02-08 12:42:47.434772,2026-02-08 12:42:48.073281,0 days 00:00:00.638509,0.9917740564286142,0.749612623123175,0.015111032726751236,4,6,474,1.1598290955389578e-07,0.0002138486110290283,0.7822191604465716,COMPLETE
76,0.8487212914515911,2026-02-08 12:42:48.100024,2026-02-08 12:42:49.359302,0 days 00:00:01.259278,0.9846986007022137,0.6926907970147413,0.011035641386931208,3,7,503,5.0809477597000413e-08,2.9641580700301453e-05,0.7515518502470324,COMPLETE
77,0.8468850013800071,2026-02-08 12:42:49.393584,2026-02-08 12:42:50.913687,0 days 00:00:01.520103,0.969729717458919,0.5691301094610883,0.01344201382347705,4,5,573,1.6063193462808163e-08,0.00013959920550687746,0.7594379857849051,COMPLETE
78,0.8484535113835892,2026-02-08 12:42:50.936002,2026-02-08 12:42:51.444993,0 days 00:00:00.508991,0.9672220741124439,0.6364017097852053,0.012251750200005677,3,7,383,3.225993667222932e-08,0.00045806326148144824,0.7245072621748192,COMPLETE
79,0.8486813593361874,2026-02-08 12:42:51.468045,2026-02-08 12:42:59.018204,0 days 00:00:07.550159,0.9091912686683123,0.761339889031988,0.010806278336835338,4,7,435,6.264801934223836e-08,0.004840043527041138,0.7005697074214436,COMPLETE
80,0.812053039245048,2026-02-08 12:42:59.039385,2026-02-08 12:42:59.893362,0 days 00:00:00.853977,0.9420674077168807,0.6858192029791946,0.18916531302824385,3,8,613,1.0781384401372242e-08,0.5986723255793384,0.7725045611896297,COMPLETE
81,0.8489368074273734,2026-02-08 12:42:59.916593,2026-02-08 12:43:01.180011,0 days 00:00:01.263418,0.9572060528669974,0.6574637525831123,0.013612275512058836,3,7,460,1.8234928548557493e-08,1.808195310422255e-05,0.7584609184163109,COMPLETE
